SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	Status	Conf	ConfClass
8	2	SEA-007: Bornholm Basin	61	4	Grey seal	0.3	sub-GES	0.8333	High
9	2	SEA-008: Gdansk Basin	61	4	Grey seal	0.3	sub-GES	0.8333	High
10	2	SEA-009: Eastern Gotland Basin	61	4	Grey seal	0.3	sub-GES	0.8333	High
11	2	SEA-010: Western Gotland Basin	61	4	Grey seal	0.3	sub-GES	0.8333	High
12	2	SEA-011: Gulf of Riga	61	4	Grey seal	0.3	sub-GES	0.9063	High
13	2	SEA-012: Northern Baltic Proper	61	4	Grey seal	0.3	sub-GES	0.8333	High
14	2	SEA-013: Gulf of Finland	61	4	Grey seal	0.3	sub-GES	0.9063	High
15	2	SEA-014: Åland Sea	61	4	Grey seal	0.3	sub-GES	0.8333	High
16	2	SEA-015: Bothnian Sea	61	4	Grey seal	0.3	sub-GES	0.9063	High
17	2	SEA-016: The Quark	61	4	Grey seal	0.3	sub-GES	0.9063	High
18	2	SEA-017: Bothnian Bay	61	4	Grey seal	0.3	sub-GES	0.9063	High
2	2	SEA-001: Kattegat	62	4	Harbour seal	0.5614	sub-GES	0.875	High
3	2	SEA-002: Great Belt	62	4	Harbour seal	0.3	sub-GES	0.7917	High
4	2	SEA-003: The Sound	62	4	Harbour seal	0.3	sub-GES	0.7917	High
5	2	SEA-004: Kiel Bay	62	4	Harbour seal	0.3	sub-GES	0.7917	High
6	2	SEA-005: Bay of Mecklenburg	62	4	Harbour seal	0.3	sub-GES	0.7917	High
7	2	SEA-006: Arkona Basin	62	4	Harbour seal	0.3	sub-GES	0.7917	High
8	2	SEA-007: Bornholm Basin	62	4	Harbour seal	0.174	sub-GES	0.8	High
11	2	SEA-010: Western Gotland Basin	62	4	Harbour seal	0.174	sub-GES	0.7083	Intermediate
12	2	SEA-011: Gulf of Riga	63	4	Ringed seal	0.108	sub-GES	0.75	Intermediate
13	2	SEA-012: Northern Baltic Proper	63	4	Ringed seal	0.108	sub-GES	0.75	Intermediate
14	2	SEA-013: Gulf of Finland	63	4	Ringed seal	0.108	sub-GES	0.7083	Intermediate
15	2	SEA-014: Åland Sea	63	4	Ringed seal	0.108	sub-GES	0.7083	Intermediate
16	2	SEA-015: Bothnian Sea	63	4	Ringed seal	0.15	sub-GES	0.7188	Intermediate
17	2	SEA-016: The Quark	63	4	Ringed seal	0.15	sub-GES	0.7857	High
18	2	SEA-017: Bothnian Bay	63	4	Ringed seal	0.15	sub-GES	0.7857	High
