SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	prop	Status	Conf	ConfClass
9	2	SEA-008: Gdansk Basin	10	3	Pelagic-feeding birds	0.8	0.8	GES	0.8958	High
9	2	SEA-008: Gdansk Basin	11	3	Benthic-feeding birds	0.3	0.416666666666667	sub-GES	0.8177	High
10	2	SEA-009: Eastern Gotland Basin	7	3	Grazing birds	0.8	0.857142857142857	GES	0.9286	High
10	2	SEA-009: Eastern Gotland Basin	8	3	Wading birds	0.3	0.6	sub-GES	1	High
10	2	SEA-009: Eastern Gotland Basin	9	3	Surface-feeding birds	0.3	0.555555555555556	sub-GES	1	High
10	2	SEA-009: Eastern Gotland Basin	10	3	Pelagic-feeding birds	0.8	0.8	GES	0.8958	High
10	2	SEA-009: Eastern Gotland Basin	11	3	Benthic-feeding birds	0.3	0.416666666666667	sub-GES	0.8177	High
11	2	SEA-010: Western Gotland Basin	7	3	Grazing birds	0.8	0.857142857142857	GES	0.9286	High
11	2	SEA-010: Western Gotland Basin	8	3	Wading birds	0.3	0.6	sub-GES	1	High
11	2	SEA-010: Western Gotland Basin	9	3	Surface-feeding birds	0.3	0.555555555555556	sub-GES	1	High
11	2	SEA-010: Western Gotland Basin	10	3	Pelagic-feeding birds	0.8	0.8	GES	0.8958	High
11	2	SEA-010: Western Gotland Basin	11	3	Benthic-feeding birds	0.3	0.416666666666667	sub-GES	0.8177	High
12	2	SEA-011: Gulf of Riga	7	3	Grazing birds	0.8	0.857142857142857	GES	0.9286	High
12	2	SEA-011: Gulf of Riga	8	3	Wading birds	0.3	0.6	sub-GES	1	High
12	2	SEA-011: Gulf of Riga	9	3	Surface-feeding birds	0.3	0.555555555555556	sub-GES	1	High
12	2	SEA-011: Gulf of Riga	10	3	Pelagic-feeding birds	0.8	0.8	GES	0.8958	High
12	2	SEA-011: Gulf of Riga	11	3	Benthic-feeding birds	0.3	0.416666666666667	sub-GES	0.8177	High
13	2	SEA-012: Northern Baltic Proper	7	3	Grazing birds	0.3	0.714285714285714	sub-GES	1	High
13	2	SEA-012: Northern Baltic Proper	8	3	Wading birds	0.3	0.75	sub-GES	1	High
